# catalogVersion;syncItemKey;pk;interests;mvwcTrustResorts;mvwcExchangeResorts;resortAtAGlance
Output Catalog:Online;Resort_Data_AU;8797284744834;BEACH,DINING,FITNESS_CENTER,GOLF,POOL,RESTAURANTS_AND_LOUNGES,SERVICES,SPA,WIRELESS_INTERNET_ACCESS;true;true;<h3>Resort-At-a-Glance</h3> <dl> <ul> <dd><li>Elegantly appointed guestrooms and suites</li></dd> <dd><li>Spectacular saltwater lagoon filled with an array of tropical fish</li></dd> <dd><li>Variety of on-site dining locations that serve international and Japanese cuisine</li></dd> <dd><li>Ruby Spa, fitness center, outdoor pool and whirlpool</li></dd> </ul> </dl> <br/> <br/> <small><i>Features, furnishings and amenities may be proposed and are subject to change.</i></small>
Output Catalog:Online;Resort_Data_00021;8796503588482;BEACH,DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,SPA,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Elegantly appointed and spacious 2- and 3-bedroom villas and deluxe guestrooms accommodate up to 10 guests </li><li>Adjacent with privileged access to the Ko Olina Golf Club and Marina</li><li>Oceanfront resort on the beach with beautiful grounds and pool complex</li><li>Spa, restaurants, The Marketplace<sup>sm</sup> convenience store, planned children/family activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00037;8796536356482;DINING,FITNESS_CENTER,GOLF,POOL,SHOPPING,SPA,THEME_PARK,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious, elegantly appointed 2-bedroom/2-bath villas accommodate up to 6 guests</li><li>In the heart of Orlando, minutes away from all the major theme parks</li><li>Excellent golf at Hawk's Landing with nearby spas, dining and shopping options</li><li>Indoor/outdoor pools, whirlpool spas, a sparkling lake, lush palms</li><li>Restaurant, fitness center and recreational facilities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00035;8796454567554;BEACH,BIKING,DINING,FAMILY_ACTIVITIES,FITNESS_CENTER,GOLF,HEALTH_CLUB,KIDS_ACTIVITIES,POOL,RECREATION,RESTAURANTS_AND_LOUNGES,SERVICES,SHOPPING,SPA,SPORTS_AND_FITNESS,TENNIS_COURTS,WIRELESS_INTERNET_ACCESS;false;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2-bedroom, 2-bath villas accommodate up to 8 guests</li><li>Beautiful, exclusive resort offering exceptional natural surroundings and privacy</li><li>Home to an award-winning spa, 3 lavish pools, newly renovated Children's Pavilion and playground, and extensive fitness center with lighted tennis courts</li><li>10 restaurants and lounges on site in addition to Thai cooking school</li><li>Located near golf courses and venues for exotic eco-tours</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;newYorkResortData;8796617719426;DINING,FITNESS_CENTER,RESTAURANTS_AND_LOUNGES,SERVICES,SHOPPING,URBAN,WIRELESS_INTERNET_ACCESS;false;true;"<p>Marriott Vacation Club Pulse, New York City puts you at the center of the action in one of the world&rsquo;s most vibrant cities. Owners will have access to this historic property through the Marriott Vacation Club Destinations<sup>TM</sup> Exchange Program.</p> <ul> <li>Relax in your beautifully appointed room or &mdash; better yet &mdash; in one of New York City&rsquo;s most spectacular rooftop bars, your very own urban oasis</li> <li>Within walking distance of flagship retail stores, beautiful Bryant Park, and the bustle of Times Square</li> <li>Take in an iconic Broadway show. Explore the renowned Garment District &mdash; the global epicenter of fashion and design &mdash; or immerse yourself in art, history and culture by experiencing New York City&rsquo;s internationally acclaimed museums and exhibits.</li> </ul> "
Output Catalog:Online;Resort_Data_00052;8796540812930;BEACH,DINING,FITNESS_CENTER,GOLF,POOL,SHOPPING,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Elegantly appointed and spacious 2-bedroom/2-bath villas accommodate up to 8 guests</li><li>Spectacular beachfront resort with lush grounds and 3 large outdoor pools</li><li>Located near many of the world's most acclaimed and scenic golf courses</li><li>Restaurant, The Marketplace<sup>sm</sup> convenience store, fitness center and children/family activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00014;8796518334082;DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SPA,THE_MARKETPLACE,URBAN,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Elegantly appointed, spacious 1-, 2- and 3-bedroom villas accommodate up to 10 guests</li><li>Located in the heart of the Las Vegas Strip</li><li>Spectacular resort with architecture and grounds evoking the south of France</li><li>Located near world-class gaming, golf, spas, natural attractions</li><li>The Marketplace<sup>sm</sup> convenience store and world-class fitness center</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_TD_001;8797764861570;DINING,POOL,BEACH,FITNESS_CENTER,WIRELESS_INTERNET_ACCESS,SHOPPING;false;true;"<h2>Resort-At-a-Glance</h2> <ul>     <li>Nestled within the Nusa Dua community, our resort will offer the best of both worlds: the luxury of spacious apartment accommodations plus access to convenient amenities at the adjacent Courtyard by Marriott&reg; Bali Nusa Dua.</li>     <li>During your stay, you'll experience trusted Marriott Vacation Club quality and superior service, whether you're relaxing in the refreshing lagoon pool or taking a shuttle to a private beach club.</li> </ul> <p>*Marriott's Bali Nusa Dua Gardens is not currently available for reservation and occupancy.  It is estimated that the Resort will be ready for occupancy starting in March 2018, unless available sooner.</p> <p>Features, furnishings and amenities are subject to change.</p> <p>Access to hotel amenities is subject to change.</p> "
Output Catalog:Online;wk-resortData-001;8797013065346;BEACH,DINING,FITNESS_CENTER,GOLF,POOL,RECREATION,RESTAURANTS_AND_LOUNGES,SERVICES,SPA,TENNIS_COURTS,WHIRLPOOLS,WIRELESS_INTERNET_ACCESS;false;true;"<h2>Resort-At-a-Glance</h2> <ul> <li>The one- and two-bedroom suites of Marriott Vacation Club's latest proposed Hawaiian resort will be co-located with the Waikoloa Beach Marriott Resort & Spa, and will celebrate the rich culture and diverse landscape.</li> <li>This welcoming island resort will feature three swimming pools, two local championship golf courses, an ancient Hawaiian fish pond and petroglyphs as old as time &mdash; all adjacent to the white sands of Anaehoomalu Bay.</li> <li>Beyond the resort you can explore jungle trails on foot or horseback, or trek along ancient lava tubes. Stroll black sand beaches and wander through colorful towns. Or set your sights even higher and tour active volcanoes of the snowcapped summit of Mauna Kea.</li> </ul> <p>Features, furnishings and amenities may be proposed and are subject to change.</p><p>*Marriott’s Waikoloa Ocean Club is now available for reservations as an exchange option through the Marriott Vacation Club Destinations™ Exchange Program</p>"
Output Catalog:Online;Resort_Data_00017;8796495658626;DINING,FITNESS_CENTER,GOLF,POOL,RECREATION,SHOPPING,SPA,THEME_PARK,WIRELESS_INTERNET_ACCESS;true;true;"<h2>Resort-At-a-Glance</h2> <ul> <li>Studios, 1- and 2-bedroom villas for up to 8 guests</li> <li>Fun family-oriented resort with pirate-themed feature pool</li> <li>Key Lime Greens<sup>&reg;</sup> 18-hole miniature golf course<sup>&dagger;</sup> &nbsp;on-site and Florida Falls Pool Complex<sup>&dagger;</sup>, which includes Waterworks, an interactive water playground</li> </ul> <p>Features, furnishings and amenities may be proposed and are subject to change.</p>"
Output Catalog:Online;Resort_Data_00012;8796489072258;DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,SPA,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;"<h2>Resort-At-a-Glance</h2> <ul> <li>Elegantly appointed, 2-bedroom villas accommodate up to 8 guests</li> <li>Surrounded by seven luxurious outdoor pools, complete with poolside grill and bar</li> <li>World-class golf at the JW Marriott Desert Springs Resort &amp; Spa and other local courses</li> <li>On-site restaurants, The Marketplace<sup>sm</sup> store, fitness center, and planned kid's activities</li> </ul> <p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>"
Output Catalog:Online;Resort_Data_00009;8796473835138;DINING,FITNESS_CENTER,GOLF,HEALTH_CLUB,RECREATION,RESTAURANTS_AND_LOUNGES,SERVICES,SHOPPING,SPA,SPORTS_AND_FITNESS,URBAN,WIRELESS_INTERNET_ACCESS;false;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious, elegantly appointed 1-bedroom suites accommodate up to 4 guests</li><li>Located in the heart of historic Boston, steps away from the harbor and Faneuil</li>Hall The Marketplace<li>A rare opportunity to stay in one of Boston's most recognizable landmarks</li><li>Surrounded by historic attractions, cultural arts venues, famous shopping, dining, more</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00049;8796447817346;DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SKI,SPA,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious, elegantly appointed 1-, 2 - and 3-bedroom villas accommodate up to 8 guests</li><li>Easy access to world-renowned skiing at South Lake Tahoe from Heavenly???? Village</li><li>Year round recreation includes world-class golf, spas, watersports, hiking, fishing, more</li><li>Large, heated pool, whirlpools, fitness center and separate children's pool and activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00023;8796423241346;DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious 2-bedroom/2-bath villas accommodate up to 8 guests</li><li>Two spectacular 18-hole golf courses</li><li>Surrounded by pristine golf greens, stunning pools and meticulously manicured grounds</li><li>On-site fitness center, many planned children's and family activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00031;8796530359938;BEACH,DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Elegantly appointed and spacious villas accommodate up to 8 guests</li><li>Fitness center, two outdoor heated pools, whirlpool, plus separate children's pool</li><li>Sauna, sports court, putting green, and children's activity areas</li><li>Numerous options nearby for water sports, golf, shopping, dining and entertainment</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00030;8796443852418;DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,SKI,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious, elegantly appointed 2-bedroom,2-bath villas accommodate up to 8 guests</li><li>Ski-in/ski-out convenience to Park City slopes</li><li>Four-season recreation including world-class golf, spas, watersports, hiking, fishing, more</li><li>Large, heated central courtyard pool with whirlpool spa</li><li>On-site restaurants, The Marketplace Express<sup>sm</sup> convenience store</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00001;8796464430722;SKI,DINING,WIRELESS_INTERNET_ACCESS,POOL,BIKING,SPA,HEALTH_CLUB;true;true;<h2>Resort-At-a-Glance</h2><ul><li>From the compact comfort of a studio to the incredible spaciousness of multi-room suites, the resort offers an assortment of floorplans, ranging from 360 square feet to approximately 2,500 square feet. </li><li>Located at the base of Heavenly Mountain, adjacent to Heavenly Village, featuring shopping, dining, and entertainment.</li><li>State-of-the-art health club with sauna and fully-equipped fitness center. On-site spa.</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00011;8796476817026;DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,SPA,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegant 2-bedroom/2-bath villas comfortably accommodate up to 8 guests</li><li>7 outdoor pools, whirlpools, surrounding lake with scenic waterfalls</li><li>Excellent golf options at the JW Marriott Desert Springs Resort & Spa and other local courses</li><li>On-site restaurants, The Marketplace<sup>sm</sup> store, fitness center and planned kids activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00007;8796471639682;BEACH,DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,SPA,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;false;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2- and 3-bedroom townhouses accommodate up to 8 people</li><li>Deluxe townhouse accommodations with private terrace/garden area with gas grill</li><li>Spectacular Mediterranean resort featuring two 18-hole golf courses and luxury spa</li><li>Expansive, beautiful manicured grounds with indoor and outdoor pools</li><li>Restaurants and lounges, fitness center, The Marketplace<sup>sm</sup> convenience store, Kid's Club</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00054;8796543008386;BEACH,DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2-bedroom/ 2-bath villas accommodate up to 8 guests</li><li>Spectacular oceanfront resort with private beach next to Frenchman's Reef & Morning Star Marriott Beach Resort</li><li>Large infinity-edge beachfront pool with slide and spa</li><li>Access to the exceptional spa and many fine restaurants at adjoining Marriott resort</li><li>On site is The Marketplace convenience store, fitness center and planned children's/family activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00056;8796435660418;BEACH,DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,SPA,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2>Elegantly appointed, spacious 2- and 3-bedroom apartments accommodate up to 8 guests <li>Stunning oceanfront resort with beach access, beautiful pools, manicured grounds and panoramic ocean views </li><li>European luxury spa </li><li>Near excellent golf courses, restaurants and cultural attractions </li><li>Onsite restaurant for breakfast, lunch and dinner, The Marketplace convenience store, fitness center, planned children's/family activities </li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00055;8796545760898;DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,SHOPPING,SPA,THE_MARKETPLACE,THEME_PARK,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2> <ul> <li>Elegantly appointed, spacious studios, 1-, 2- and 3-bedroom villas for up to 10 guests</li> <li>Surrounded by 4 giant pool complexes, a welcoming lake, winding walkways and trails</li> <li>World-class golf at the Grande Vista Golf Club and nearby courses</li> <li>Restaurants, The Marketplace convenience store, fitness center and planned children's activities</li> </ul> <p>Features, furnishings and amenities may be proposed and are subject to change.</p>
Output Catalog:Online;Resort_Data_00051;8796458237570;DINING,FITNESS_CENTER,GOLF,POOL,SPA,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;"<h2>Resort-At-a-Glance</h2><ul><li>Spacious, elegantly appointed 2-bedroom/2-bath villas accommodate up to 8 guests</li><li>Located at Doral<sup>&reg;</sup> Golf Resort & Spa, with access to 5 championship 18-hole courses and a world-class spa</li><li>In one of Miami's hottest districts, featuring exceptional dining, arts, shopping and nightlife</li><li>Outstanding on-site restaurants and lounges, store, fitness center and children's activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>"
Output Catalog:Online;Resort_Data_00028;8796449980034;BEACH,DINING,FITNESS_CENTER,GOLF,POOL,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2-bedroom/2-bath villas accommodate up to 6 guests</li><li>Nonsmoking resort</li><li>Spectacular oceanfront resort beside expansive Atlantic Ocean beach</li><li>Beautifully landscaped and wooded grounds with swimming pool and natural ponds</li><li>Located near many world-class golf courses, restaurants and recreational areas</li><li>On-site fitness center and planned family and children's activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00013;8796491202178;DINING,FITNESS_CENTER,GOLF,POOL,SPA,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2-bedroom villas accommodate up to 8 guests</li><li>Adjacent to the Seaview Resort & Spa with privileged access to the Pines and Bay courses at the Seaview Resort & Spa</li><li>Gorgeous Plantation-style resort on scenic grounds with several indoor and outdoor pools and golf-course views</li><li>On-site restaurant, The Marketplace Express<sup>sm</sup> convenience store and fitness center</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00042;8796430777986;BEACH,DINING,FITNESS_CENTER,GOLF,POOL,SHOPPING,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2-bedroom/2-bath villas accommodate up to 6 guests</li><li>A nonsmoking resort</li><li>Beautiful resort overlooking Shelter Cove Harbour, surrounded by lush grounds</li><li>Located near many world-class golf courses, restaurants and recreational areas</li><li>On-site fitness center and planned family and children's activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00045;8796456009346;DINING,FITNESS_CENTER,GOLF,POOL,SPA,WHIRLPOOLS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Luxuriously-appointed 2-, 3-,and 4-bedroom residences</li><li>Dedicated concierge</li><li>At-your-service ski valet</li><li>Fitness Center</li><li>Ritz Kids Program</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00048;8796445392514;DINING,FITNESS_CENTER,GOLF,POOL,SPA;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Luxurious 2- and 3-bedroom residences include a separate living room, dining area, fully equipped kitchen and private balcony</li><li>Discover a mountain retreat in one of the world's most desirable ski destinations</li><li>Savor delectable cuisine at our onsite Lobby Lounge, enjoy the convenience of an in-residence Chef's dinner or sample one of the area's tempting restaurants </li><li>Unwind with refreshing swim in the outdoor pool</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00062;8796438937218;GOLF,THEME_PARK;true;true;"<h2>Resort-At-a-Glance</h2> <ul> <li>Spacious and elegantly appointed studio,1- and 2-bedroom villas accommodate as many as 6 to 8 guests</li> <li>Williamsburg has many historical and entertainment attractions</li> <li>Williamsburg has many historical and entertainment attractions</li> <li>Beautiful golf club</li> <li>Secluded, country estate resort with beautiful grounds</li> <li>The Marketplace<sup>sm</sup>convenience store, fitness center and planned children&Atilde;&cent;&acirc;&sbquo;&not;&acirc;&bdquo;&cent;s/family activities</li> </ul> <p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>"
Output Catalog:Online;Resort_Data_00043;8796550184578;BEACH,DINING,FITNESS_CENTER,GOLF,POOL,SHOPPING,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2- and 3-bedroom villas accommodate up to 8 guests</li><li>Beautiful oceanfront location with excellent views and privacy</li><li>Meticulously landscaped and lavishly equipped grounds featuring oceanfront pools, private cabanas, many firepits, grills and picnic areas</li><li>Located near many world-class golf courses, spas and restaurants</li><li>On-site fitness center</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00034;8796532260482;BEACH,DINING,FITNESS_CENTER,GOLF,KIDS_ACTIVITIES,POOL,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;true;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious, elegantly appointed 2- and 3-bedroom villas accommodate up to 10 guests</li><li>Beachfront resort with private beach for sunning, swimming and watersports</li><li>The Palm Beaches have world-famous shopping, golf courses, spas and cultural arts attractions</li><li>The Marketplace<sup>sm</sup> on-site convenience store, fitness center, planned children's and family activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
Output Catalog:Online;Resort_Data_00050;8796512992898;DINING,FITNESS_CENTER,GOLF,POOL,SHOPPING,SPA,THE_MARKETPLACE,WIRELESS_INTERNET_ACCESS;false;true;<h2>Resort-At-a-Glance</h2><ul><li>Spacious and elegantly appointed 2- and 3-bedroom townhouses accommodate up to 8 people</li><li>Remarkable 2-story townhouse-style villas with private terraces</li><li>Located in the French countryside, just miles outside of Paris</li><li>Beautifully landscaped grounds with expansive pools, gardens and lake</li><li>The Marketplace<sup>sm</sup> convenience store, fitness center, planned children's/family activities</li></ul><p><span>Features, furnishings and amenities may be proposed and are subject to change.</span></p>
